title,summary,category
Is Vistra Corp. (VST) the Best Large-Cap Value Stock to Buy as the Recession Hits?,"We recently published a list of 15 Best Large-Cap Value Stocks to Buy as the Recession Hits. In this article, we are going to take a look at where Vistra Corp. (NYSE:VST) stands against other best large-cap value stocks to buy as the recession hits. Goldman Sachs highlighted that equities around the world traded in and […]",Utilities
"CenterPoint Energy (NYSE:CNP) Elects New Directors, Declares US$0.22 Dividend","CenterPoint Energy (NYSE:CNP) recently saw a 12% rise in its share price over the last quarter. This performance came amid significant company developments, including the election of Laurie L. Fitch and Manuel B. Miranda as directors at the annual shareholder meeting and the affirmation of a quarterly cash dividend of $0.22 per share. During the same period, stocks were mixed, with the S&P 500 and Nasdaq registering gains while the Dow Jones dropped. CenterPoint's increased share price...",Utilities
Is Duke Energy Corporation (DUK) the Best Large-Cap Value Stock to Buy as the Recession Hits?,"We recently published a list of 15 Best Large-Cap Value Stocks to Buy as the Recession Hits. In this article, we are going to take a look at where Duke Energy Corporation (NYSE:DUK) stands against other best large-cap value stocks to buy as the recession hits. Goldman Sachs highlighted that equities around the world traded […]",Utilities
Jim Cramer Says Boring Is Good – NRG Energy (NRG) Is a Very Good Utility,"We recently published a list of 12 Stocks on Jim Cramer’s Radar Recently. In this article, we are going to take a look at where NRG Energy, Inc. (NYSE:NRG) stands against other stocks that on Jim Cramer’s radar recently. On Tuesday, Jim Cramer, host of Mad Money, criticized the market’s reaction, or lack thereof, to […]",Utilities
"Is Dominion Energy, Inc. (D) the Best Large-Cap Value Stock to Buy as the Recession Hits?","We recently published a list of 15 Best Large-Cap Value Stocks to Buy as the Recession Hits. In this article, we are going to take a look at where Dominion Energy, Inc. (NYSE:D) stands against other best large-cap value stocks to buy as the recession hits. Goldman Sachs highlighted that equities around the world traded in […]",Utilities
IDACORP Schedules First Quarter 2025 Earnings Release & Conference Call,"BOISE, Idaho, April 17, 2025--IDACORP, Inc. (NYSE:IDA) will report its first quarter results on Thursday, May 1, in a news release before the stock markets open. The company will hold an analyst conference call that day at 2:30 p.m. Mountain Time (4:30 p.m. Eastern Time) to discuss the first quarter 2025 earnings.",Utilities
"Consumers Energy Delivers Over $1 Million in Rebates, Cost Savings for Grand Rapids Public Schools",Consumers Energy is proud to partner with Grand Rapids Public Schools to empower one of the state's largest school districts to save money through Consumers Energy's energy efficiency programs.,Utilities
ACEA and Eurelectric urge immediate grid upgrades for heavy-duty EV transition,The appeal comes as the EU moves forward with its plan to cut carbon emissions in the transport sector.,Utilities
Reasons to Add National Grid Stock to Your Portfolio Now,"NGG's positive movement in earnings estimates, planned capital expenditure to improve infrastructure and demand from new customers make it a strong pick.",Utilities
Evergy Schedules Conference Call to Discuss 1st Quarter Results,"KANSAS CITY, Mo., April 17, 2025--Evergy, Inc. (NASDAQ: EVRG) announced today it will release its 2025 first quarter earnings Thursday, May 8, 2025, before market open. The company plans to host its quarterly conference call and audio webcast to discuss the results Thursday, May 8, 2025.",Utilities
American Water Charitable Foundation Supports Kentucky Communities Affected by Storms and Floods,"CAMDEN, N.J., April 17, 2025--The American Water Charitable Foundation, a philanthropic non-profit organization established by American Water (NYSE: AWK), the largest regulated water and wastewater utility company in the U.S., announced today that it provided a $15,000 grant to the American Red Cross, during the Kentucky Red Cross telethon, to support communities impacted by heavy rains and flash floods in Kentucky.",Utilities
Woodside Energy confirms discussions with Uniper,"Woodside Energy (WDS) said, “In response to recent media speculation, Woodside confirms it is in discussions with Uniper (UNPRF) regarding potential LNG supply. Discussions between the parties are ongoing and incomplete and no final agreement has been reached on the terms. Woodside will continue to update the market in accordance with its continuous disclosure obligations.” Published first on TheFly – the ultimate source for real-time, market-moving breaking financial news. Try Now>> See Insider",Utilities
"Enlight to Report First Quarter 2025 Financial Results on Tuesday, May 6, 2025","TEL AVIV, Israel, April 17, 2025 (GLOBE NEWSWIRE) -- Enlight Renewable Energy (“Enlight”, ""the Company”, NASDAQ: ENLT, TASE: ENLT.TA), a leading renewable energy platform, today announced it will release its financial results for the first quarter ended March 31, 2025, before market open on Tuesday, May 6, 2025. Conference Call Information Enlight will host a conference call to review its financial results and business outlook at 8:00 AM ET on Tuesday, May 6, 2025. Management will deliver prepar",Utilities
Xcel Energy (XEL) Earnings Expected to Grow: What to Know Ahead of Next Week's Release,Xcel (XEL) possesses the right combination of the two key ingredients for a likely earnings beat in its upcoming report. Get prepared with the key expectations.,Utilities
CenterPoint Energy (CNP) Reports Next Week: What Awaits?,CenterPoint (CNP) doesn't possess the right combination of the two key ingredients for a likely earnings beat in its upcoming report. Get prepared with the key expectations.,Utilities
CMS Energy (CMS) Earnings Expected to Grow: Should You Buy?,CMS Energy (CMS) doesn't possess the right combination of the two key ingredients for a likely earnings beat in its upcoming report. Get prepared with the key expectations.,Utilities
Duke Energy to hold annual shareholders meeting online May 1,"Duke Energy (NYSE: DUK) will hold its annual shareholders meeting online on Thursday, May 1, at 1 p.m. ET.",Utilities
Here's Why You Must Add CenterPoint Stock to Your Portfolio Now,"CNP is a solid pick in the utility space, given its long-term growth prospects, consistent investment plan and ability to raise shareholder value via regular dividends.",Utilities
CYBER ENVIRO-TECH SECURES REGISTRATION WITH KUWAIT OIL COMPANY - POTENTIAL PROJECT VALUE OVER $100 MILLION ANNUALLY,"Cyber Enviro-Tech, Inc. (OTCQB-CETI) today announced its successful registration with Kuwait Oil Company (KOC), the world's 10th largest oil producer. This milestone represents a major advancement in CETI's global growth strategy. The rigorous registration process, which can span over two years and exceed a million dollars in cost, offers no guarantee of acceptance which makes this achievement particularly noteworthy. As a result, CETI has been invited to bid on a produced water remediation proj",Utilities
Is Southwest Gas (SWX) Outperforming Other Utilities Stocks This Year?,Here is how Southwest Gas (SWX) and Tele2 (TLTZY) have performed compared to their sector so far this year.,Utilities
Should Value Investors Buy AES (AES) Stock?,"Here at Zacks, our focus is on the proven Zacks Rank system, which emphasizes earnings estimates and estimate revisions to find great stocks. Nevertheless, we are always paying attention to the latest value, growth, and momentum trends to underscore strong picks.",Utilities
Countdown to NextEra (NEE) Q1 Earnings: Wall Street Forecasts for Key Metrics,"Evaluate the expected performance of NextEra (NEE) for the quarter ended March 2025, looking beyond the conventional Wall Street top-and-bottom-line estimates and examining some of its key metrics for better insight.",Utilities
Exelon Announces Senior Leadership Appointments,"CHICAGO, April 17, 2025--Exelon Corp. (Nasdaq: EXC) announced today that Carim Khouzami, president and chief executive officer of Exelon operating company BGE, is taking on the role of executive vice president, Transmission and Development for Exelon. Khouzami will be responsible for transmission operations across all Exelon regions while preparing the company to meet the unprecedented growth in energy demand. He will also ensure strong partnerships are in place to provide Exelon with the resour",Utilities
Reasons to Add SJW Group Stock to Your Portfolio Right Now,"SJW makes a strong case for investment, given its growth prospects, debt management and capability to increase shareholders' value.",Utilities
Advisory: Boralex to hold annual meeting of shareholders on May 14,"MONTREAL, April 17, 2025 (GLOBE NEWSWIRE) -- Boralex Inc. (“Boralex” or the “Company”) (TSX: BLX) announces that it will hold its Annual Meeting of Shareholders at 11:00 a.m. EDT on Wednesday, May 14, 2025, in a hybrid format, i.e. in person with a live audio webcast. Simultaneous interpretation will also be available for English-speaking participants to the online meeting. The online and in-person access to the event will start at 10:30 a.m. EDT. Registered shareholders and duly appointed proxy",Utilities
American States Water Company to Report First Quarter 2025 Results,"SAN DIMAS, Calif., April 17, 2025--American States Water Company (NYSE:AWR) announced today that the company intends to release its first quarter ended March 31, 2025 financial results after the market closes on Wednesday, May 7, 2025.",Utilities
"DTE Energy schedules first quarter 2025 earnings release, conference call","DETROIT, April 17, 2025 (GLOBE NEWSWIRE) -- DTE Energy (NYSE:DTE) will announce its first quarter 2025 earnings before the market opens Thursday, May 1, 2025. The company will conduct a conference call to discuss earnings results at 9:00 a.m. ET the same day. Investors, the news media and the public may listen to a live internet broadcast of the call at dteenergy.com/investors. The telephone dial-in number in the U.S. and Canada toll free is: (888) 510-2008. The telephone dial-in USA toll is: (6",Utilities
RWE (ETR:RWE) Is Looking To Continue Growing Its Returns On Capital,"If you're not sure where to start when looking for the next multi-bagger, there are a few key trends you should keep an...",Utilities
UK risks energy crisis as British Gas halts activity at fuel storage site,"The owner of British Gas has stopped filling a crucial fuel storage facility in the North Sea, raising the risk of winter shortages and potentially higher energy prices.",Utilities
This Week In Energy Transition - Renewable Energy Certificates Market Poised For Significant Growth,"The renewable energy certificate (REC) market is expected to reach USD 45.45 billion by 2030, up from USD 27.99 billion in 2025, with a compound annual growth rate of 10.2%. This growth is primarily driven by favorable government policies, corporate sustainability initiatives, and increased climate change awareness. Solar energy leads as the largest market segment, while installations above 5,000 KWh dominate in capacity. The voluntary market segment is gaining ground among corporations...",Utilities
Patterson-UTI Energy to Post Q1 Earnings: Here's What to Expect,PTEN is expected to report lower revenues from the year-ago period. The company is anticipated to see a higher bottom line due to declining costs.,Utilities
"Talen Energy to Report First Quarter 2025 Financial Results on May 8, 2025","HOUSTON, April 17, 2025 (GLOBE NEWSWIRE) -- Talen Energy Corporation (“Talen”) (NASDAQ: TLN) plans to release its first quarter 2025 financial results on Thursday, May 8, 2025, before market open. President and Chief Executive Officer Mac McFarland and Chief Financial Officer Terry Nutt will discuss the financial and operating results during an earnings call at 9:00 a.m. EDT (8:00 a.m. CDT) on May 8, 2025. To listen to the earnings call, please register in advance for the webcast here. For parti",Utilities
5 Must-Buy Efficient Stocks Amid Volatile Market Conditions,"Invest in companies like ALLT, SBS, LNN, EQBK and GFF to make the most of higher efficiency levels.",Utilities
5 Value Stocks With Enticing EV-to-EBITDA Ratios to Own Now,"We have screened value stocks SMP, PRAA, MRC, ROCK and EIX based on the EV-to-EBITDA ratio, which gives the true picture of valuation and earnings potential.",Utilities
Canadian Utilities (TSE:CU) Has Announced A Dividend Of CA$0.4577,Canadian Utilities Limited's ( TSE:CU ) investors are due to receive a payment of CA$0.4577 per share on 1st of June...,Utilities
Stardust Solar Energy Inc. Announces Closing of Non-Brokered Private Placement of Units,"Vancouver, British Columbia--(Newsfile Corp. - April 17, 2025) - Stardust Solar Energy Inc. (TSXV: SUN) (""Stardust Solar"" or the ""Company""), a leading provider of residential solar energy solutions, is pleased to announce the closing of its non-brokered private placement offering (the ""Offering""), as previously disclosed in the Company's news release dated March 25, 2025. In connection with the Offering, the Company issued 3,410,000 units (the ""Units"") at a price of $0.125 per Unit, generating .",Utilities
Unpacking Q4 Earnings: Enphase (NASDAQ:ENPH) In The Context Of Other Renewable Energy Stocks,"Looking back on renewable energy stocks’ Q4 earnings, we examine this quarter’s best and worst performers, including Enphase (NASDAQ:ENPH) and its peers.",Utilities
114.1 MW Kelmė wind farm I in Lithuania has reached the commercial operation date,"AB “Ignitis grupė” (hereinafter – the Group) informs that Kelmė wind farm I, controlled by its subsidiary UAB “Ignitis renewables” (hereinafter – Ignitis Renewables), has reached the commercial operation date (hereinafter – COD). The project is located in central Lithuania, Kelmė district, and consists of 16 Nordex N163/6.X wind turbines with a total installed capacity of 114.1 MW. The total investments in the wind farm will reach around EUR 190 million. The installed capacity was adjusted in ac",Utilities
Vistra Corp. (VST) Gains Analyst Support Despite Data Center News Lull,"We recently published a list of 10 AI Stocks You Shouldn’t Overlook Right Now. In this article, we are going to take a look at where Vistra Corp. (NYSE:VST) stands against other AI stocks you shouldn’t overlook right now. According to Adam Thierer, a senior fellow at the center-right think tank R Street Institute, Trump’s […]",Utilities
Dominion Energy (D) Stock Moves -1.14%: What You Should Know,"In the closing of the recent trading day, Dominion Energy (D) stood at $53.06, denoting a -1.14% change from the preceding trading day.",Utilities
"CenterPoint Energy adds new Board Members, Manuel Miranda and Laurie Fitch","As part of its on-going refreshment process of its Board of Directors, CenterPoint Energy (NYSE: CNP) today announced that its shareholders elected two new members to its Board. Manuel (""Manny"") Miranda, a 40-year veteran of NextEra and Florida Power & Light and Laurie Fitch, senior advisor at PJT Partners, a global, advisory-focused investment bank, join CenterPoint's Board effective April 16, 2025.",Utilities
CenterPoint Energy Declares Regular Common Stock Dividend of $0.2200,"CenterPoint Energy, Inc.'s (NYSE: CNP) Board of Directors today declared a regular quarterly cash dividend of $0.2200 per share on the issued and outstanding shares of Common Stock payable on June 12, 2025, to shareholders of record at the close of business on May 15, 2025.",Utilities
Vistra Corp. (VST) Advances While Market Declines: Some Information for Investors,"Vistra Corp. (VST) closed the most recent trading day at $115.92, moving +0.14% from the previous trading session.",Utilities
"Via Renewables, Inc. Announces Dividend on Preferred Stock","HOUSTON, TX / ACCESS Newswire / April 16, 2025 / Via Renewables, Inc. (""Via Renewables"" or the ""Company"") (NASDAQ:VIASP), an independent retail energy services company, announced today that, in accordance with the terms of the 8.75% Series A Fixed-to-Floating ...",Utilities
Duke Energy Corporation (DUK): Among the Best Renewable Energy Stocks to Buy in 2025,"We recently published a list of 12 Best Renewable Energy Stocks to Buy in 2025. In this article, we are going to take a look at where Duke Energy Corporation (NYSE:DUK) stands against other best renewable energy stocks to buy in 2025. Governments are focused on clean energy worldwide. In 2024, a record 30 GW […]",Utilities
The Southern Company (SO): Among the Best Renewable Energy Stocks to Buy in 2025,"We recently published a list of 12 Best Renewable Energy Stocks to Buy in 2025. In this article, we are going to take a look at where The Southern Company (NYSE:SO) stands against other best renewable energy stocks to buy in 2025. Governments are focused on clean energy worldwide. In 2024, a record 30 GW […]",Utilities
Is Fluence Energy (FLNC) One of the Best Renewable Energy Stocks to Buy in 2025?,"We recently published a list of 12 Best Renewable Energy Stocks to Buy in 2025. In this article, we are going to take a look at where Fluence Energy, Inc. (NASDAQ:FLNC) stands against other best renewable energy stocks to buy in 2025. Governments are focused on clean energy worldwide. In 2024, a record 30 GW […]",Utilities
Is DTE Energy (DTE) Among the Best Renewable Energy Stocks to Buy in 2025?,"We recently published a list of 12 Best Renewable Energy Stocks to Buy in 2025. In this article, we are going to take a look at where DTE Energy Company (NYSE:DTE) stands against other best renewable energy stocks to buy in 2025. Governments are focused on clean energy worldwide. In 2024, a record 30 GW […]",Utilities
Energy for a Better Future: Our Corporate Citizenship Impact,"NORTHAMPTON, MA / ACCESS Newswire / April 16, 2025 / Entergy Corporation Empowering our communities Giving back to our communities, and empowering them, is at the core of our corporate mission. In 2024, our focus on corporate social responsibility ...",Utilities
Institutions own 35% of Genie Energy Ltd. (NYSE:GNE) shares but retail investors control 42% of the company,Key Insights Significant control over Genie Energy by retail investors implies that the general public has more power...,Utilities
FirstEnergy Recognizes Frontline Crews on Lineworker Appreciation Day,"FirstEnergy Corp. (NYSE: FE) is joining electric companies around the country to honor the men and women who work 24/7/365 to keep power flowing ahead of Lineworker Appreciation Day, celebrated nationally each year on April 18.",Utilities
"Pampa Energia Informs that it has Filed its Annual Report on Form 20-F for the Fiscal Year Ended December 31, 2024","BUENOS AIRES, AR / ACCESS Newswire / April 16, 2025 / Pampa Energía S.A. (NYSE: PAM)(Buenos Aires Stock Exchange:PAMP) (‘Pampa' or the ‘Company'), one of the leading energy companies in Argentina, with participation in the oil and gas and electricity ...",Utilities
Why Eversource (ES) is Poised to Beat Earnings Estimates Again,Eversource (ES) has an impressive earnings surprise history and currently possesses the right combination of the two key ingredients for a likely beat in its next quarterly report.,Utilities
Why NextEra (NEE) Could Beat Earnings Estimates Again,NextEra (NEE) has an impressive earnings surprise history and currently possesses the right combination of the two key ingredients for a likely beat in its next quarterly report.,Utilities
Exelon (EXC) Is Up 1.43% in One Week: What You Should Know,Does Exelon (EXC) have what it takes to be a top stock pick for momentum investors? Let's find out.,Utilities
New Jersey Resources Board of Directors Declares Quarterly Dividend,"WALL, N.J., April 16, 2025--The board of directors (the ""Board"") of New Jersey Resources Corporation (NYSE: NJR) unanimously declared a quarterly dividend on its common stock of $0.45 per share. The dividend will be payable on July 1, 2025, to shareowners of record as of June 10, 2025.",Utilities
Reasons to Add American Water Works to Your Portfolio Right Now,"AWK makes a strong case for investment, given its solid earnings growth prospects, expanding customer base and long-term investments.",Utilities
Notice to attend the Annual General Meeting in Minesto AB,"The shareholders of Minesto AB (publ), reg. no. 556719-4914, (""Minesto"" or the ""Company"") are hereby given notice to attend the Annual General Meeting on Thursday 22 May 2025 at 10.00 a.m. at Hotel Riverton, Stora Badhusgatan 26 in Gothenburg. Registration for the general meeting begins at 9.30 a.m.",Utilities
NextEra Energy (NEE) Earnings Expected to Grow: Should You Buy?,NextEra (NEE) possesses the right combination of the two key ingredients for a likely earnings beat in its upcoming report. Get prepared with the key expectations.,Utilities
FirstEnergy (FE) Earnings Expected to Grow: What to Know Ahead of Next Week's Release,FirstEnergy (FE) doesn't possess the right combination of the two key ingredients for a likely earnings beat in its upcoming report. Get prepared with the key expectations.,Utilities
Pennsylvania American Water and the American Water Charitable Foundation Provide Over $2.1 Million in Statewide Support to Communities in 2024,"MECHANICSBURG, Pa., April 16, 2025--Pennsylvania American Water announced its charitable giving for 2024. Last year, the company provided more than $1.4 million through grants, general charitable contributions and programming support to 325 organizations across Pennsylvania. When combined with the $669,000 provided by the American Water Charitable Foundation, the total amount of support increases to more than $2.1 million.",Utilities
Should Value Investors Buy E.ON (EONGY) Stock?,"Here at Zacks, our focus is on the proven Zacks Rank system, which emphasizes earnings estimates and estimate revisions to find great stocks. Nevertheless, we are always paying attention to the latest value, growth, and momentum trends to underscore strong picks.",Utilities
Is E.ON (EONGY) Stock Outpacing Its Utilities Peers This Year?,Here is how E.ON SE (EONGY) and Shenandoah Telecommunications (SHEN) have performed compared to their sector so far this year.,Utilities
Is Vistra Corp. (VST) the Best Renewable Energy Stock to Buy in 2025?,"We recently published a list of 12 Best Renewable Energy Stocks to Buy in 2025. In this article, we are going to take a look at where Vistra Corp. (NYSE:VST) stands against other best renewable energy stocks to buy in 2025. Governments are focused on clean energy worldwide. In 2024, a record 30 GW of […]",Utilities
"Is NextEra Energy, Inc. (NEE) the Best Renewable Energy Stock to Buy in 2025?","We recently published a list of 12 Best Renewable Energy Stocks to Buy in 2025. In this article, we are going to take a look at where NextEra Energy, Inc. (NYSE:NEE) stands against other best renewable energy stocks to buy in 2025. Governments are focused on clean energy worldwide. In 2024, a record 30 GW […]",Utilities
TELUS to Set Up Sovereign AI Factories in Kamloops & Rimouski,"TU will launch Canada's first Sovereign AI Factories in Quebec and British Columbia, boosting secure and sustainable AI infrastructure.",Utilities
PSEG: Teaching Children To Be Good Little Neighbors,"NORTHAMPTON, MA / ACCESS Newswire / April 16, 2025 /Originally published on PSEG ENERGIZE! Leaves scattered across the lawn, broken branches and dirt covering the pavement greeted the Sesame Street friends after an intense night of stormy weather ...",Utilities
Duke Energy Corporation (DUK) is Attracting Investor Attention: Here is What You Should Know,"Recently, Zacks.com users have been paying close attention to Duke Energy (DUK). This makes it worthwhile to examine what the stock has in store.",Utilities
"NRG Energy, Inc. (NRG) Is a Trending Stock: Facts to Know Before Betting on It","NRG (NRG) has been one of the stocks most watched by Zacks.com users lately. So, it is worth exploring what lies ahead for the stock.",Utilities
SJW Group to Report First-Quarter 2025 Financial Results on April 28,"SAN JOSE, Calif., April 16, 2025 (GLOBE NEWSWIRE) -- SJW Group (NASDAQ: SJW) expects to report financial results for the first quarter 2025 after the close of the market on April 28, 2025. Eric W. Thornburg, president, chief executive officer and board chair, Andrew F. Walters, chief financial officer and treasurer, Bruce A. Hauk, chief operating officer, Kristen A. Johnson, senior vice president and chief administrative officer, and Ann P. Kelly, chief accounting officer, will host a conference",Utilities
Institutional investors are TransAlta Corporation's (TSE:TA) biggest bettors and were rewarded after last week's CA$116m market cap gain,Key Insights Significantly high institutional ownership implies TransAlta's stock price is sensitive to their trading...,Utilities
"With A 5.6% Return On Equity, Is Southwest Gas Holdings, Inc. (NYSE:SWX) A Quality Stock?","While some investors are already well versed in financial metrics (hat tip), this article is for those who would like...",Utilities
"Consumers Energy Starts Work on Four Cities Metro Pipeline, Ensuring Reliable Natural Gas in Detroit Region","Consumers Energy will be working this spring and summer in Oakland and Macomb counties on the Four Cities Metro Pipeline, a major investment to help ensure homes and businesses reliably receive natural gas for years to come.",Utilities
5 Nuclear Energy Stocks in Focus Amid AI-Powered Data Center Growth,"Watch five nuclear energy stocks amid massive power demand. These are: CEG, BWXT, PCG, AEP, NEE.",Utilities
5 Bargain Picks With Low Price-to-Sales Ratios & High Upside Potential,"The price-to-sales ratio is a convenient tool to gauge the value of stocks incurring losses or in an early development cycle. Stocks like GIII, PCB, ROCK, PRAA and PAM hold promise.",Utilities
Is Spire Inc. (NYSE:SR) Trading At A 22% Discount?,Key Insights The projected fair value for Spire is US$97.94 based on 2 Stage Free Cash Flow to Equity Spire's US$76.77...,Utilities
Jersey Central Power & Light Company Announces Launch of Exchange Offer for its 5.100% Senior Notes Due 2035,"Jersey Central Power & Light Company (""JCP&L"" or the ""Company""), a subsidiary of FirstEnergy Corp., today announced an offer to exchange up to $700 million aggregate principal amount of its outstanding 5.100% Senior Notes due 2035 (the ""Outstanding Notes"") for an equal amount of 5.100% Senior Notes due 2035 registered under the Securities Act (the ""New Notes"").",Utilities
Altus Power Closes Transaction with TPG,"STAMFORD, Conn., April 16, 2025--Altus Power, Inc. (""Altus Power"" or the ""Company"") (NYSE: AMPS), a leading commercial-scale provider of clean, electric power, today announced the completion of its acquisition by TPG through its TPG Rise Climate Transition Infrastructure strategy in an all-cash transaction that valued the Company at approximately $2.2 billion, including outstanding debt. As a result of the transaction, Altus Power is now a privately-held company.",Utilities
ITAB Shop Concept And 2 European Small Caps With Promising Potential,"As European markets navigate the turbulence of escalating trade tensions and shifting economic indicators, investors are increasingly looking toward small-cap stocks for potential opportunities. In this environment, identifying companies that demonstrate resilience and innovation can be key to uncovering promising investment prospects.",Utilities
Here Are My Top 3 High-Yield Stocks to Buy Now,"Toronto-Dominion Bank (NYSE: TD) has a 5% dividend yield. Realty Income's (NYSE: O) yield is 5.7%. There was a large fine, the company is upgrading its internal controls, and TD Bank, as it is more commonly known, is operating under an asset cap in the U.S. The asset cap is the big problem because it basically means TD Bank can't expand its U.S. business until regulators are convinced the money laundering issue is in the past.",Utilities
3 Dividend Stocks Yielding Over 4% to Buy in April,"Many growth-focused companies don't pay dividends at all, which is why the yield on the S&P 500 (SNPINDEX: ^GSPC) has fallen to just 1.4%. Stocks with reliable dividends and high yields can be excellent ways to collect passive income no matter what the broader market is doing. Here's why these three fool.com contributors think Chevron (NYSE: CVX), Brookfield Renewable Partners (NYSE: BEP) (NYSE: BEPC), and MSC Industrial Direct (NYSE: MSM) are three high-yield dividend stocks to buy now.",Utilities
"Tariff Turmoil Got Your Portfolio Down? All It Takes Is $5,000 Invested in This Rock-Solid Vanguard ETF to Help Generate $150 in Passive Income Per Year.","It's been a rough start to 2025, with the S&P 500 having its worst quarter since 2022 followed by escalating trade tensions in April. Investors looking for broad-based exposure to the utilities sector might want to consider an exchange-traded fund (ETF) like the Vanguard Utilities ETF (NYSEMKT: VPU). Utilities are the second-best-performing sector year to date and one of just two sectors that are up slightly compared to the S&P 500's more than 8% drop.",Utilities
"National Grid plc's (LON:NG.) large institutional owners must be happy as stock continues to impress, up 6.4% over the past week",Key Insights Significantly high institutional ownership implies National Grid's stock price is sensitive to their...,Utilities
3 Utility Stocks to Buy With $250 and Hold Forever,"These utility stocks offer substantial dividend income, a smoother ride for shareholders, and sneaky long-term growth potential.",Utilities
5 Safe Dividend Stocks Yielding 5% or More to Buy Right Now for Durable Passive Income,"The stock market has slumped sharply this year due to concerns that tariffs could cause a recession. One positive from the sell-off is that lower stock prices cause dividend yields to rise. Because of that, investors can lock in dividend yields of 5% or more on some high-quality companies right now.",Utilities
Southern Co. (SO) Stock Moves -0.15%: What You Should Know,"In the latest trading session, Southern Co. (SO) closed at $91.02, marking a -0.15% move from the previous day.",Utilities
Why the Market Dipped But Consolidated Water (CWCO) Gained Today,"In the most recent trading session, Consolidated Water (CWCO) closed at $24.03, indicating a +0.25% shift from the previous trading day.",Utilities
Why the Market Dipped But NRG Energy (NRG) Gained Today,"NRG Energy (NRG) closed the most recent trading day at $97.11, moving +1.24% from the previous trading session.",Utilities
Duke Energy (DUK) Stock Moves -0.09%: What You Should Know,"In the most recent trading session, Duke Energy (DUK) closed at $120.49, indicating a -0.09% shift from the previous trading day.",Utilities
"Montauk Renewables, Inc. Announces Share Repurchase Program","PITTSBURGH, April 15, 2025 (GLOBE NEWSWIRE) -- Montauk Renewables, Inc. (NASDAQ: MNTK) (“Montauk” or the “Company”), announced today that the Company's Board of Directors has authorized a share repurchase program to repurchase up to $5,000,000 of the Company's issued and outstanding common stock, effective immediately with no date for termination. Repurchases under the program may be made through open market transactions, privately negotiated transactions or otherwise in accordance with applicab",Utilities
"Aris Water Solutions, Inc. Schedules First Quarter 2025 Results Conference Call","HOUSTON, April 15, 2025--Aris Water Solutions, Inc. (NYSE: ARIS) (""Aris"", ""Aris Water"" or the ""Company"") announced today that it will host a conference call to discuss its first quarter 2025 results on Wednesday, May 7, 2025, at 8:00 a.m. Central Time (9:00 a.m. Eastern Time). Aris will issue its first quarter 2025 earnings release after market close on May 6, 2025.",Utilities
